#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-9.1974160, -2.4152094, -6.3765829,  0.3433562, -0.5236538,  0.5214424, -0.5796473)    0    0 -131.68008971  1 4.120 -88.34104639
(-4.1063801, -4.5661477,  1.4674932, -0.3588059, -0.4977777, -0.7363521,  0.2850636)    0    0 -183.46364630  0 4.200 -123.07343090
(-4.3663537, -10.8645180,  4.7711743, -0.2741740, -0.8104866, -0.4670855,  0.2230947)    0    0 -78.50414878  0 4.200 -52.67475870
(-8.8276089,  2.0066371,  6.9279273,  0.0972853, -0.6100945, -0.4084698,  0.6719172)    0    0 -128.34781045  1 3.880 -75.20859327
(-14.5919291, -1.8604490,  2.9060828, -0.7845227,  0.1866141,  0.5531036, -0.2092264)    0    0 -45.51956430  0 4.200 -30.55126340
(-7.3831720, -9.9556789, -5.6208493, -0.3024669,  0.6108104, -0.5558079,  0.4759223)    0    0 -84.37768041  0 4.200 -56.61426715
(-8.8327095, -4.8194261,  0.5897487, -0.3735206,  0.2083132, -0.4287666, -0.7957683)    0    0 -150.44978525  0 4.200 -100.93029915
(-7.6526466, -1.6703641, -8.0307181,  0.7198605, -0.4515069,  0.3327463, -0.4089282)    0    0 -116.79209834  0 4.200 -78.35533905
(-6.7027517, -9.1336186,  2.7332357, -0.3137382,  0.0007350,  0.3036645,  0.8996420)    0    0 -101.44479075  1 3.720 -61.69258605
(-8.0851900, -3.1120052,  8.7556269, -0.6482229, -0.0169688,  0.7292283,  0.2185068)    0    0 -86.43235460  1 4.040 -61.84872990
(-6.6912802, -3.5086665, -2.9969185,  0.8087641,  0.0866529, -0.4732905,  0.3382128)    0    0 -205.35881903  1 4.120 -137.75901081
(-10.5472359, -6.3937318,  9.2733562, -0.8694071,  0.0222549,  0.4347641,  0.2337008)    0    0 -55.30779305  0 4.200 -37.11644638
(-14.8525458, -1.8908946,  3.1588528, -0.7951379,  0.1784699,  0.5451729, -0.1966997)    0    0 -46.92248172  1 3.560 -29.10308593
(-6.0860599, -4.0153044, -1.0486767,  0.3972159,  0.4494580, -0.7733119,  0.2054160)    0    0 -186.75881258  0 4.200 -125.28357230
(-13.7863047, -0.4670353,  2.6768061, -0.8047122,  0.2085370,  0.5161091, -0.2063537)    0    0 -63.00159848  2 3.560 -36.32028328
(-10.5538508, -5.8144151,  9.3020136, -0.8567428,  0.0377657,  0.4450384,  0.2578884)    0    0 -69.47522526  1 3.800 -42.48674236
(-7.0535154, -9.1359397,  2.6078642, -0.3566682, -0.0065375,  0.3012389,  0.8843077)    0    0 -86.58925010  0 4.200 -58.09761619
(-10.0504803,  2.0333305,  6.9561490,  0.1473931, -0.6234336, -0.3366852,  0.6901079)    0    0 -85.14820007  0 4.200 -57.13107185
(-11.8768271, -7.6187206,  5.1591604, -0.1259660, -0.4255893,  0.1881670,  0.8761276)    0    0 -56.79601134  0 4.200 -38.11462753
(-11.7838923, -8.1696925,  2.2926412,  0.1301591, -0.8359003,  0.0757475,  0.5278178)    0    0 -82.72093647  1 4.120 -55.50305210
