#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-3.6616882,  0.9915047, -9.9083754,  0.5124779, -0.6858739, -0.3188317,  0.4065583)    0    0   5.00000000  0 0.200   0.00000000
(-1.7443059, -0.2901222, -12.4303793,  0.5255986,  0.7970799, -0.2822217, -0.0935985)    0    0   5.00000000  0 0.200   0.00000000
(-16.5185439,  8.0074116, -8.1390039,  0.0355846,  0.2578499, -0.8603173, -0.4382937)    0    0   5.00000000  0 0.200   0.00000000
(-11.8779894,  0.4563934, -7.5327463,  0.0390169,  0.1620526,  0.7765695, -0.6075825)    0    0   5.00000000  0 0.200   0.00000000
(-7.9230625, 11.6489154, -17.9345292, -0.3227031, -0.6463950,  0.6896156, -0.0496632)    0    0   5.00000000  0 0.200   0.00000000
(-8.6232666,  5.9120134, -4.4057899, -0.2591950, -0.4564519, -0.2440768, -0.8154116)    0    0   5.00000000  0 0.200   0.00000000
( 0.7656195,  6.8348594, -15.0918832,  0.6559555, -0.1662204,  0.3748235,  0.6337196)    0    0   5.00000000  0 0.200   0.00000000
(-14.0193785,  3.3546150, -8.9219726,  0.7950445,  0.4119590,  0.0674244,  0.4400544)    0    0   5.00000000  0 0.200   0.00000000
(-7.9518708,  8.4144830, -8.4096918, -0.3639891, -0.3959457,  0.2039010, -0.8180240)    0    0   5.00000000  0 0.200   0.00000000
(-8.7391978, -1.0838933, -7.2336990, -0.0064836,  0.3901784, -0.8805503, -0.2689794)    0    0   5.00000000  0 0.200   0.00000000
(-2.2089939, 10.2437747, -5.2951612, -0.7529234,  0.3033906, -0.0853174, -0.5777383)    0    0   5.00000000  0 0.200   0.00000000
(-14.3792903,  8.2929521, -6.1202416, -0.3816734,  0.2296852,  0.7484647,  0.4912950)    0    0   5.00000000  0 0.200   0.00000000
(-13.3055509, 13.0382838, -5.2595173,  0.8284332, -0.5118882,  0.1347026, -0.1830959)    0    0   5.00000000  0 0.200   0.00000000
(-9.2847929,  7.3839709, -6.1795231, -0.1627845, -0.7137348, -0.5645567,  0.3812605)    0    0   5.00000000  0 0.200   0.00000000
(-4.1495433, 10.3370122, -18.3169942,  0.6274439, -0.1459135, -0.2730332, -0.7144762)    0    0   5.00000000  0 0.200   0.00000000
(-0.6463571,  8.9080489, -13.4304137, -0.2944769,  0.6276993, -0.2057561, -0.6906095)    0    0   5.00000000  0 0.200   0.00000000
(-4.4270500,  6.9837250, -11.5524609,  0.6654590, -0.1784370, -0.6419496,  0.3364896)    0    0   5.00000000  0 0.200   0.00000000
(-2.8119083,  0.5544386, -11.4502874, -0.4062781, -0.6707450, -0.4085165,  0.4670691)    0    0   5.00000000  0 0.200   0.00000000
(-8.9926537,  9.1980976, -3.2030897,  0.2457156, -0.2015015,  0.7858048, -0.5305957)    0    0   5.00000000  0 0.200   0.00000000
(-12.7293261,  2.3372261, -16.4200821,  0.6347815,  0.4815712, -0.5344689, -0.2819303)    0    0   5.00000000  0 0.200   0.00000000
