#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-1.1371629, -5.2870186, -5.4283427,  0.1632506,  0.9048126,  0.3658581,  0.1442612)    0    0   5.00000000  0 0.200   0.00000000
( 7.8941689, -12.1551198, -0.0886378, -0.5641426,  0.3374320,  0.2169986,  0.7216609)    0    0   5.00000000  0 0.200   0.00000000
( 0.4764508, -15.6215501, -3.8599567,  0.8814579,  0.0657486, -0.2248385,  0.4100692)    0    0   5.00000000  0 0.200   0.00000000
( 4.9640313,  0.2722238, -9.8859796,  0.2483394, -0.0279004, -0.9208911,  0.2991800)    0    0   5.00000000  0 0.200   0.00000000
( 2.4341778, -18.9174137, -9.9145075,  0.0667614,  0.3224713,  0.6646773,  0.6706409)    0    0   5.00000000  0 0.200   0.00000000
(10.5372760, -9.9352453, -3.8620376, -0.7097956, -0.3054209,  0.2098989, -0.5990415)    0    0   5.00000000  0 0.200   0.00000000
(-1.5378423, -16.6246148, -11.7115774, -0.3171194, -0.4479614,  0.2442017, -0.7994570)    0    0   5.00000000  0 0.200   0.00000000
( 7.3474723, -14.6522860, -7.5178699,  0.6015682, -0.5698316, -0.2898184,  0.4789707)    0    0   5.00000000  0 0.200   0.00000000
( 7.7277106, -9.4615930, -10.8294397,  0.5429391, -0.7018024, -0.2029334, -0.4141360)    0    0   5.00000000  0 0.200   0.00000000
( 9.5468258, -14.5892452, -11.2752641, -0.1618420, -0.0448503, -0.9019145,  0.3979270)    0    0   5.00000000  0 0.200   0.00000000
( 5.9631037, -11.9738655,  0.4944963, -0.8193028, -0.4877533,  0.1325421, -0.2706885)    0    0   5.00000000  0 0.200   0.00000000
( 0.8958033, -13.7960462, -9.2210675,  0.0426965,  0.0659860, -0.3799178, -0.9216753)    0    0   5.00000000  0 0.200   0.00000000
( 7.1607390, -10.2660317, -14.3849148,  0.3549098, -0.1485471, -0.6647494,  0.6403757)    0    0   5.00000000  0 0.200   0.00000000
(-3.4933158, -12.2174729, -8.8153329,  0.0128055, -0.7056643, -0.4657358, -0.5338202)    0    0   5.00000000  0 0.200   0.00000000
( 4.6616284, -5.2645161, -7.0787424, -0.6384294, -0.1138142,  0.4504835, -0.6136113)    0    0   5.00000000  0 0.200   0.00000000
( 3.0105173, -14.4099045, -14.8228452,  0.1350383,  0.9154240,  0.3751513, -0.0550000)    0    0   5.00000000  0 0.200   0.00000000
(10.0614386, -1.9696737, -5.6654074, -0.4399885, -0.6136965,  0.6551722,  0.0231553)    0    0   5.00000000  0 0.200   0.00000000
( 8.1380218, -4.9533611, -9.3525239,  0.0710909, -0.8481239, -0.3660610, -0.3763392)    0    0   5.00000000  0 0.200   0.00000000
( 1.0264009, -17.0771427, -9.6880036, -0.3241057, -0.8478853,  0.3058859, -0.2871932)    0    0   5.00000000  0 0.200   0.00000000
( 2.5381186, -0.7224535, -11.9831405, -0.2586700, -0.0711208, -0.4757107,  0.8376939)    0    0   5.00000000  0 0.200   0.00000000
